id,price_doc
30474,6864535.050059464
30475,5463137.494155968
30476,6957291.411148801
30477,14319423.499899345
30478,12849764.121519208
30479,11057478.811257385
30480,3971169.1275772583
30481,7021714.730981529
30482,6772476.455429296
30483,5772274.453741674
30484,5682544.986449056
30485,6013308.201471376
30486,6889761.224279098
30487,5003070.059073385
30488,4996740.720280754
30489,8206228.232296606
30490,7615531.745607809
30491,6795142.080545579
30492,9451863.984345524
30493,7078655.128267644
30494,11553101.546264753
30495,6213154.048275999
30496,7666573.353706948
30497,5056867.625545558
30498,5358015.729564839
30499,7276868.064971026
30500,5581864.629707827
30501,5976217.877946938
30502,12377277.64017351
30503,6739811.081052998
30504,6388187.768538799
30505,13140600.599001415
30506,6013005.338370595
30507,4907586.449836987
30508,5669540.145979567
30509,6219604.708860029
30510,5938758.981516937
30511,4231995.031645326
30512,5247783.14228439
30513,5229457.858600464
30514,7375957.0832644
30515,8708265.93052472
30516,6462754.2870661365
30517,9572808.203214759
30518,12484747.232738025
30519,6658387.989841307
30520,6078771.237101758
30521,5663129.468525469
30522,6988148.823084417
30523,5865925.700777568
30524,8203447.880063165
30525,5867827.9994616015
30526,7473470.630970854
30527,6183954.285278211
30528,5416655.839352383
30529,6930546.242087611
30530,9137355.89289319
30531,5419260.739184691
30532,12321761.822423793
30533,10319813.108450055
30534,15384637.015711237
30535,8414981.23457401
30536,7155171.191414553
30537,6245392.149297235
30538,5665244.040560099
30539,10181335.30909757
30540,8034795.976552803
30541,8381972.792954087
30542,12479310.161054824
30543,7176579.229603666
30544,5044897.714010309
30545,10376509.308994314
30546,10962905.27115527
30547,6030300.930227989
30548,6026495.188197984
30549,7413232.6813794635
30550,11909064.927851452
30551,4754189.056916704
30552,8482520.912558634
30553,21880886.620250385
30554,7572282.013794608
30555,7864822.474131606
30556,5374510.395617228
30557,10894007.590384178
30558,9994366.229288036
30559,6891602.219388235
30560,7291276.051119932
30561,4932246.764898073
30562,6916287.897898104
30563,12358609.466065975
30564,5075598.735229631
30565,8161607.324490725
30566,5088174.723601109
30567,11530787.083154673
30568,7250029.95415104
30569,8927063.254017526
30570,4713799.557289165
30571,6203821.004314114
30572,8143930.840815674
30573,11958925.209095497
30574,6651654.750844582
30575,6040607.803347348
30576,7019382.601409439
30577,6053016.194187048
30578,4108650.6341749867
30579,5465775.622344817
30580,8336617.85117593
30581,11944892.698579337
30582,7476876.783984053
30583,12481737.893834332
30584,7135182.709235036
30585,8805801.223043343
30586,10902991.662128074
30587,7524606.296092316
30588,5076209.721004146
30589,7951693.493797022
30590,9282035.680520838
30591,8590635.299280385
30592,5067719.965389615
30593,12810068.566685213
30594,8235876.659160778
30595,5697772.896526131
30596,8374409.404583535
30597,6235775.116468203
30598,10103438.376534106
30599,8468506.758830262
30600,7854177.980387018
30601,6198470.835325961
30602,53689761.61927331
30603,8379506.530135465
30604,5240643.4247154035
30605,6359520.7314913245
30606,7566980.453534284
30607,5929630.3579565715
30608,7068855.246355104
30609,5152257.185362914
30610,8524718.51233432
30611,8965994.579790825
30612,8380415.547021459
30613,5133171.923800362
30614,3391562.5027540503
30615,5698677.689266154
30616,7036657.587559514
30617,10078381.101290947
30618,6789510.766527928
30619,8204842.911221075
30620,16911990.79752266
30621,20016895.124288067
30622,4957743.924390961
30623,9502144.997420032
30624,4761605.36200244
30625,8561021.978447838
30626,7372744.484834434
30627,6260961.359410535
30628,5523795.548164684
30629,9494186.706759894
30630,7164216.0059945695
30631,8755129.900946505
30632,9723647.543959038
30633,5356769.4098469615
30634,14043759.544131562
30635,5762333.578986303
30636,11771471.59872294
30637,6144984.487044566
30638,12590429.04468812
30639,5716060.788411259
30640,7070040.281377084
30641,5938341.16022369
30642,7566511.226549868
30643,6785012.552944683
30644,18852723.175390445
30645,5114625.094252895
30646,4818987.670723682
30647,5957462.662919467
30648,7107260.748547674
30649,5486210.428451217
30650,4822126.832973139
30651,12633906.729830999
30652,15521439.581742538
30653,5112874.487503355
30654,13051016.548676183
30655,11209156.577782847
30656,6034702.79076662
30657,6038490.889581857
30658,6917435.444963842
30659,16004758.738172675
30660,4938516.87462383
30661,7941088.8420943245
30662,6058412.2016371135
30663,5903132.355592257
30664,17119501.787716407
30665,7240806.340588309
30666,5214658.793207807
30667,6217554.499793892
30668,8430322.298585702
30669,5957959.600004565
30670,5844748.855159712
30671,8690880.357391875
30672,8573224.814558038
30673,16866749.432116088
30674,6171915.0578
30675,5133539.003014231
30676,4802784.467715145
30677,12614372.451633077
30678,7060543.726051207
30679,5678206.483288469
30680,11730938.975096978
30681,5029392.715507547
30682,12437571.263410246
30683,7193224.277186361
30684,6758231.55313118
30685,6024022.915414621
30686,5995629.558727967
30687,8624232.502468893
30688,6848345.651432022
30689,7184745.590732566
30690,9747061.765327357
30691,8086248.360226254
30692,2589824.5129473465
30693,9509069.153698511
30694,9570041.38417552
30695,6048497.547827516
30696,14841161.20492514
30697,7108041.982970383
30698,5169318.235668017
30699,9135647.13950463
30700,6012307.897570262
30701,6096844.349086092
30702,6452545.860892526
30703,6511698.704069099
30704,5448434.924584065
30705,7035838.314886013
30706,6528694.896051602
30707,8333851.490479136
30708,6185936.654892218
30709,6196199.851652288
30710,8460204.412792215
30711,7707995.055155239
30712,7021094.80937745
30713,4765328.118172792
30714,8805051.76956234
30715,8056315.455586286
30716,6742952.781168342
30717,8561021.978447838
30718,6215776.722616549
30719,12397829.863138974
30720,7189721.186356233
30721,6095993.276994535
30722,9895342.783860717
30723,6005263.647147132
30724,6011258.150571721
30725,12294557.438528534
30726,9268378.33613366
30727,5584991.11630085
30728,5424902.426514247
30729,6572393.490995632
30730,6938523.595092315
30731,7135182.709235036
30732,8405886.543238727
30733,6122256.403878974
30734,4803707.077034049
30735,7276979.823408384
30736,16853116.53173315
30737,5717887.0149839
30738,15709951.90427047
30739,7041067.103484934
30740,5091995.371062133
30741,5965839.7707132725
30742,5817700.811179946
30743,5031580.176692861
30744,6383359.547290119
30745,6472672.602704548
30746,6055815.294309963
30747,6176218.786251776
30748,5971987.782406856
30749,6029485.999408816
30750,6067146.561527648
30751,7993926.311100931
30752,23055842.05087358
30753,12836955.875145188
30754,14080652.24702392
30755,5234941.453048051
30756,5440522.511736783
30757,7118419.127505653
30758,6547151.34198081
30759,6540143.952367082
30760,8048507.831618522
30761,6962615.340155804
30762,4954721.890160211
30763,7089361.908367135
30764,6221658.4470210085
30765,3109804.555871606
30766,5853463.748075417
30767,12387058.710004767
30768,5251135.458250455
30769,7089059.730070156
30770,7132232.605052647
30771,25291195.61587477
30772,6986312.7272215
30773,5102206.578865377
30774,5771270.791071105
30775,6118039.824650012
30776,8762291.198672906
30777,4768826.245781904
30778,7307704.3732568985
30779,6456650.755369519
30780,11413228.009239947
30781,8938857.57908123
30782,12694428.043824486
30783,5565548.877753674
30784,6038331.912864026
30785,13156754.83899447
30786,7370357.598029181
30787,6249172.634500021
30788,6054345.597929035
30789,5768156.286963509
30790,9155915.08590671
30791,7719069.850276537
30792,8912451.758574601
30793,5473987.106261033
30794,5254143.697049877
